,text,ttext,nstop
83,?to do during covid‍ a pandemic picnic with a pup! keep calm and picnic on a people!!… ,"['?', 'to', 'do', 'during', 'covid\u200d', 'a', 'pandemic', 'picnic', 'with', 'a', 'pup', '!', 'keep', 'calm', 'and', 'picnic', 'on', 'a', 'people', '!', '!', '…']","['?', 'do', 'covid\u200d', 'pandemic', 'picnic', 'a', 'pup', '!', 'calm', 'picnic', 'a', 'people', '!', '!', '…']"
84,expert calls for daylight saving to be cancelled this year due to coronavirus risk &gt;&gt;  ,"['expert', 'calls', 'for', 'daylight', 'saving', 'to', 'be', 'cancelled', 'this', 'year', 'due', 'to', 'coronavirus', 'risk', '&', 'gt;&gt', ';', ' ']","['expert', 'calls', 'daylight', 'saving', 'be', 'cancelled', 'year', 'to', 'coronavirus', 'risk', '&', 'gt;&gt', ';', ' ']"
85, cloth masks do not stop microbes the size of the coronavirus. its a fact and implies a false security. plea… ,"[' ', 'cloth', 'masks', 'do', 'not', 'stop', 'microbes', 'the', 'size', 'of', 'the', 'coronavirus', '.', 'its', 'a', 'fact', 'and', 'implies', 'a', 'false', 'security', '.', 'plea', '…']","[' ', 'cloth', 'masks', 'not', 'stop', 'microbes', 'size', 'the', 'coronavirus', '.', 'fact', 'implies', 'a', 'false', 'security', '.', 'plea', '…']"
86,odd question - do you think someone would lie about having  to get out of dating you? context: person has… ,"['odd', 'question', '-', 'do', 'you', 'think', 'someone', 'would', 'lie', 'about', 'having', ' ', 'to', 'get', 'out', 'of', 'dating', 'you', '?', 'context', ':', 'person', 'has', '…']","['odd', 'question', '-', 'think', 'would', 'lie', 'having', ' ', 'get', 'of', 'dating', 'you', '?', 'context', ':', 'person', '…']"
87, of decolonizing wealth project on what we want to take into the new world.  post  we need… ,"[' ', 'of', 'decolonizing', 'wealth', 'project', 'on', 'what', 'we', 'want', 'to', 'take', 'into', 'the', 'new', 'world', '.', ' ', 'post', ' ', 'we', 'need', '…']","[' ', 'decolonizing', 'wealth', 'project', 'what', 'want', 'take', 'the', 'new', 'world', '.', ' ', 'post', ' ', 'need', '…']"
88,today school leaders and governors associations   &amp;  have written to the prime minister w… ,"['today', 'school', 'leaders', 'and', 'governors', 'associations', '  ', '&', 'amp', ';', ' ', 'have', 'written', 'to', 'the', 'prime', 'minister', 'w', '…']","['today', 'school', 'leaders', 'governors', 'associations', '  ', '&', 'amp', ';', ' ', 'written', 'the', 'prime', 'minister', 'w', '…']"
89,  check this out for transparency: case details on every single case. ,"['  ', 'check', 'this', 'out', 'for', 'transparency', ':', 'case', 'details', 'on', 'every', 'single', 'case', '.']","['  ', 'check', 'out', 'transparency', ':', 'case', 'details', 'every', 'single', 'case', '.']"
90,"local authorities order anti-maskers to dig graves for covid-19 victims in java, indonesia | bored panda ","['local', 'authorities', 'order', 'anti', '-', 'maskers', 'to', 'dig', 'graves', 'for', 'covid-19', 'victims', 'in', 'java', ',', 'indonesia', '|', 'bored', 'panda']","['local', 'authorities', 'order', 'anti', '-', 'maskers', 'dig', 'graves', 'covid-19', 'victims', 'java', ',', 'indonesia', '|', 'bored', 'panda']"
91,"36 vietnamese stowaways came from china, tested for coronavirus  ","['36', 'vietnamese', 'stowaways', 'came', 'from', 'china', ',', 'tested', 'for', 'coronavirus', ' ']","['36', 'vietnamese', 'stowaways', 'came', 'china', ',', 'tested', 'coronavirus', ' ']"
92,kinda disappointed she didn't keep the pet worm around for the rest of the interview. ,"['kinda', 'disappointed', 'she', 'did', ""n't"", 'keep', 'the', 'pet', 'worm', 'around', 'for', 'the', 'rest', 'of', 'the', 'interview', '.']","['kinda', 'disappointed', 'did', 'keep', 'pet', 'worm', 'for', 'rest', 'the', 'interview', '.']"
93,i won't respond to any of them in particular because it'd be rude but come onnobody is saying covid-19 or what's… ,"['i', 'wo', ""n't"", 'respond', 'to', 'any', 'of', 'them', 'in', 'particular', 'because', 'it', ""'d"", 'be', 'rude', 'but', 'come', 'onnobody', 'is', 'saying', 'covid-19', 'or', 'what', ""'s"", '…']","['wo', 'respond', 'any', 'them', 'particular', 'it', 'be', 'rude', 'come', 'onnobody', 'saying', 'covid-19', 'what', '…']"
94,bill gates slams ‘shocking’ u.s. response to covid-19 pandemic  via ,"['bill', 'gates', 'slams', '‘', 'shocking', '’', 'u.s', '.', 'response', 'to', 'covid-19', 'pandemic', ' ', 'via']","['bill', 'gates', 'slams', '‘', 'shocking', '’', 'u.s', '.', 'response', 'covid-19', 'pandemic', ' ']"
95,no it wont disappear.since b4 easter he has said it would disappear. its not going anywhere based on his shit res… ,"['no', 'it', 'wo', 'nt', 'disappear.since', 'b4', 'easter', 'he', 'has', 'said', 'it', 'would', 'disappear', '.', 'its', 'not', 'going', 'anywhere', 'based', 'on', 'his', 'shit', 'res', '…']","['wo', 'nt', 'disappear.since', 'b4', 'easter', 'has', 'said', 'it', 'would', 'disappear', '.', 'not', 'going', 'based', 'his', 'shit', 'res', '…']"
96,we are still experiencing 1000 covid-19 deaths per day. there is no defense for this or for  &amp; his… ,"['we', 'are', 'still', 'experiencing', '1000', 'covid-19', 'deaths', 'per', 'day', '.', 'there', 'is', 'no', 'defense', 'for', 'this', 'or', 'for', ' ', '&', 'amp', ';', 'his', '…']","['are', 'experiencing', '1000', 'covid-19', 'deaths', 'day', '.', 'is', 'defense', 'this', 'for', ' ', '&', 'amp', ';', '…']"
97,joker 2020: ,"['joker', '2020', ':']","['joker', '2020', ':']"
98,us unveils plan to provide free coronavirus vaccine ,"['us', 'unveils', 'plan', 'to', 'provide', 'free', 'coronavirus', 'vaccine']","['unveils', 'plan', 'provide', 'free', 'coronavirus', 'vaccine']"
99," from the article ""there are no approved vaccines for the coronavirus. three drugmakers are currently in la… ","[' ', 'from', 'the', 'article', '""', 'there', 'are', 'no', 'approved', 'vaccines', 'for', 'the', 'coronavirus', '.', 'three', 'drugmakers', 'are', 'currently', 'in', 'la', '…']","[' ', 'the', 'article', '""', 'approved', 'vaccines', 'the', 'coronavirus', '.', 'drugmakers', 'are', 'currently', 'la', '…']"
100,"i’m sick of coronavirus now, is anything ever going to be back to normal ????","['i', '’m', 'sick', 'of', 'coronavirus', 'now', ',', 'is', 'anything', 'ever', 'going', 'to', 'be', 'back', 'to', 'normal', '?', '?', '?', '?']","['’m', 'sick', 'coronavirus', ',', 'anything', 'going', 'be', 'to', 'normal', '?', '?', '?', '?']"
101,of course not ,"['of', 'course', 'not']",['course']
102,"for those bummed with covid-19 publishing woes, there's plenty mystery, crime books out. sharon saye has details in… ","['for', 'those', 'bummed', 'with', 'covid-19', 'publishing', 'woes', ',', 'there', ""'s"", 'plenty', 'mystery', ',', 'crime', 'books', 'out', '.', 'sharon', 'saye', 'has', 'details', 'in', '…']","['those', 'bummed', 'covid-19', 'publishing', 'woes', ',', ""'s"", 'plenty', 'mystery', ',', 'crime', 'books', '.', 'sharon', 'saye', 'details', '…']"
103, 1. her mother had cancer not  2. she asked you about immigration!!!!  ,"[' ', '1', '.', 'her', 'mother', 'had', 'cancer', 'not', ' ', '2', '.', 'she', 'asked', 'you', 'about', 'immigration', '!', '!', '!', '!', ' ']","[' ', '1', '.', 'mother', 'cancer', ' ', '2', '.', 'asked', 'about', 'immigration', '!', '!', '!', '!', ' ']"
104,is this just a made up number to sound safe?  lol ,"['is', 'this', 'just', 'a', 'made', 'up', 'number', 'to', 'sound', 'safe', '?', ' ', 'lol']","['this', 'a', 'up', 'number', 'sound', 'safe', '?', ' ', 'lol']"
105,   enjoy this,"['   ', 'enjoy', 'this']","['   ', 'enjoy']"
106,if you are an early bird why not catch me on  breakfast business tomorrow morning between 060 and 07:0… ,"['if', 'you', 'are', 'an', 'early', 'bird', 'why', 'not', 'catch', 'me', 'on', ' ', 'breakfast', 'business', 'tomorrow', 'morning', 'between', '060', 'and', '07:0', '…']","['you', 'an', 'early', 'bird', 'not', 'catch', 'on', ' ', 'breakfast', 'business', 'tomorrow', 'morning', '060', '07:0', '…']"
107,covid-19 and the impact on residential landlords and tenants -19  law  … ,"['covid-19', 'and', 'the', 'impact', 'on', 'residential', 'landlords', 'and', 'tenants', '-19', ' ', 'law', ' ', '…']","['covid-19', 'the', 'impact', 'residential', 'landlords', 'tenants', '-19', ' ', 'law', ' ', '…']"
108,  the us surgeon general wants me to wear a mask to prevent coronavirus.but i’m waiting to he… ,"['  ', 'the', 'us', 'surgeon', 'general', 'wants', 'me', 'to', 'wear', 'a', 'mask', 'to', 'prevent', 'coronavirus.but', 'i', '’m', 'waiting', 'to', 'he', '…']","['  ', 'us', 'surgeon', 'general', 'wants', 'wear', 'mask', 'prevent', 'coronavirus.but', '’m', 'waiting', 'to', 'he', '…']"
109,must watch: michael caputo’s covid-19 conspiracy theory video is frightening  via ,"['must', 'watch', ':', 'michael', 'caputo', '’s', 'covid-19', 'conspiracy', 'theory', 'video', 'is', 'frightening', ' ', 'via']","['watch', ':', 'michael', 'caputo', 'covid-19', 'conspiracy', 'theory', 'video', 'frightening', ' ']"
110,i've signed the petition for the government to fix the problems in england's  testing system. will you… ,"['i', ""'ve"", 'signed', 'the', 'petition', 'for', 'the', 'government', 'to', 'fix', 'the', 'problems', 'in', 'england', ""'s"", ' ', 'testing', 'system', '.', 'will', 'you', '…']","[""'ve"", 'signed', 'petition', 'government', 'fix', 'the', 'problems', 'england', ' ', 'testing', 'system', '.', 'you', '…']"
111,i'm sick of fred flinstone ,"['i', ""'m"", 'sick', 'of', 'fred', 'flinstone']","[""'m"", 'sick', 'fred', 'flinstone']"
112,alert: how u.s.’s response to covid-19 could precipitate 2nd greatdepression - global pandemic news | … ,"['alert', ':', 'how', 'u.s', '.', '’s', 'response', 'to', 'covid-19', 'could', 'precipitate', '2nd', 'greatdepression', '-', 'global', 'pandemic', 'news', '|', '…']","['alert', ':', 'u.s', '.', 'response', 'covid-19', 'precipitate', '2nd', 'greatdepression', '-', 'global', 'pandemic', 'news', '|', '…']"
113, sign “investigate forced hysterectomies in ice detention centers” and i’ll deliver a copy to your officials:… ,"[' ', 'sign', '“', 'investigate', 'forced', 'hysterectomies', 'in', 'ice', 'detention', 'centers', '”', 'and', 'i', '’ll', 'deliver', 'a', 'copy', 'to', 'your', 'officials', ':', '…']","[' ', 'sign', '“', 'investigate', 'forced', 'hysterectomies', 'ice', 'detention', 'centers', '”', 'i', 'deliver', 'copy', 'your', 'officials', ':', '…']"
114,dr. fauci just gave us the worst possible news about the coronavirus pandemic,"['dr', '.', 'fauci', 'just', 'gave', 'us', 'the', 'worst', 'possible', 'news', 'about', 'the', 'coronavirus', 'pandemic']","['dr', '.', 'fauci', 'gave', 'the', 'worst', 'possible', 'news', 'the', 'coronavirus', 'pandemic']"
115,giraffe has a free tier! this no-cost option includes… full product + slack integration for up to 20 users in… ,"['giraffe', 'has', 'a', 'free', 'tier', '!', 'this', 'no', '-', 'cost', 'option', 'includes', '…', 'full', 'product', '+', 'slack', 'integration', 'for', 'up', 'to', '20', 'users', 'in', '…']","['giraffe', 'a', 'free', 'tier', '!', 'no', '-', 'cost', 'option', 'includes', '…', 'product', '+', 'slack', 'integration', 'up', '20', 'users', '…']"
116,the core message must remain the same wash your hands keep social distance cough etiquette keep your hands from you… ,"['the', 'core', 'message', 'must', 'remain', 'the', 'same', 'wash', 'your', 'hands', 'keep', 'social', 'distance', 'cough', 'etiquette', 'keep', 'your', 'hands', 'from', 'you', '…']","['core', 'message', 'remain', 'same', 'wash', 'hands', 'social', 'distance', 'cough', 'etiquette', 'your', 'hands', 'you', '…']"
117,"76 days focuses on personal stories from  instead of taking an investigative route, following patients and st… ","['76', 'days', 'focuses', 'on', 'personal', 'stories', 'from', ' ', 'instead', 'of', 'taking', 'an', 'investigative', 'route', ',', 'following', 'patients', 'and', 'st', '…']","['76', 'days', 'focuses', 'personal', 'stories', ' ', 'instead', 'taking', 'investigative', 'route', ',', 'following', 'patients', 'st', '…']"
118, mco may have to be reimposed if covid-19 cases rise sharply -muhyiddin‒ thesundaily,"[' ', 'mco', 'may', 'have', 'to', 'be', 'reimposed', 'if', 'covid-19', 'cases', 'rise', 'sharply', '-muhyiddin‒', 'thesundaily']","[' ', 'mco', 'have', 'be', 'reimposed', 'covid-19', 'cases', 'rise', 'sharply', '-muhyiddin‒', 'thesundaily']"
119,we need the daily meetings at 5 back again.      ,"['we', 'need', 'the', 'daily', 'meetings', 'at', '5', 'back', 'again', '.', '     ']","['need', 'daily', 'meetings', '5', 'again', '.', '     ']"
120, everyone should be talking about dr. li-meng yan and her assertion that the ccp made and released covi… ,"[' ', 'everyone', 'should', 'be', 'talking', 'about', 'dr', '.', 'li', '-', 'meng', 'yan', 'and', 'her', 'assertion', 'that', 'the', 'ccp', 'made', 'and', 'released', 'covi', '…']","[' ', 'should', 'talking', 'dr', '.', 'li', '-', 'meng', 'yan', 'her', 'assertion', 'the', 'ccp', 'and', 'released', 'covi', '…']"
121,useful message in a book shelf when one reads the titles from top left to bottom right in that order. … ,"['useful', 'message', 'in', 'a', 'book', 'shelf', 'when', 'one', 'reads', 'the', 'titles', 'from', 'top', 'left', 'to', 'bottom', 'right', 'in', 'that', 'order', '.', '…']","['useful', 'message', 'a', 'book', 'shelf', 'one', 'reads', 'titles', 'top', 'left', 'bottom', 'right', 'that', 'order', '.', '…']"
122,    5 the biden plan would also double down on the effo… ,"['    ', '5', 'the', 'biden', 'plan', 'would', 'also', 'double', 'down', 'on', 'the', 'effo', '…']","['    ', '5', 'biden', 'plan', 'also', 'double', 'on', 'effo', '…']"
123,"this is terribly heartbreaking. and it should never be necessary to research. yet, here we are. ","['this', 'is', 'terribly', 'heartbreaking', '.', 'and', 'it', 'should', 'never', 'be', 'necessary', 'to', 'research', '.', 'yet', ',', 'here', 'we', 'are', '.']","['is', 'terribly', 'heartbreaking', '.', 'it', 'never', 'necessary', 'research', '.', ',', 'we', '.']"
124,one in 10 covid-19 patients return to hospital after being sent home from er: us study ,"['one', 'in', '10', 'covid-19', 'patients', 'return', 'to', 'hospital', 'after', 'being', 'sent', 'home', 'from', 'er', ':', 'us', '\xa0', 'study']","['in', '10', 'covid-19', 'patients', 'return', 'hospital', 'being', 'sent', 'home', 'er', ':', '\xa0', 'study']"
125,"uh... might as well cancel your football season, lsu. ","['uh', '...', 'might', 'as', 'well', 'cancel', 'your', 'football', 'season', ',', 'lsu', '.']","['uh', '...', 'as', 'cancel', 'football', 'season', ',', 'lsu', '.']"
126, chinese virologist dr. li-meng yan states that covid-19 is not a natural virus and that it was create… ,"[' ', 'chinese', 'virologist', 'dr', '.', 'li', '-', 'meng', 'yan', 'states', 'that', 'covid-19', 'is', 'not', 'a', 'natural', 'virus', 'and', 'that', 'it', 'was', 'create', '…']","[' ', 'chinese', 'virologist', 'dr', '.', 'li', '-', 'meng', 'yan', 'states', 'covid-19', 'not', 'natural', 'virus', 'that', 'was', 'create', '…']"
127,news from  should you adjust pay for remote employees?: covid-19 has catapulted remote work into the center… ,"['news', 'from', ' ', 'should', 'you', 'adjust', 'pay', 'for', 'remote', 'employees', '?', ':', 'covid-19', 'has', 'catapulted', 'remote', 'work', 'into', 'the', 'center', '…']","['news', ' ', 'you', 'adjust', 'pay', 'remote', 'employees', '?', ':', 'covid-19', 'catapulted', 'remote', 'work', 'the', 'center', '…']"
128,"wow, imagine how many hospitalizations and deaths will be traced to the indoor hate rallies  held l… ","['wow', ',', 'imagine', 'how', 'many', 'hospitalizations', 'and', 'deaths', 'will', 'be', 'traced', 'to', 'the', 'indoor', 'hate', 'rallies', ' ', 'held', 'l', '…']","['wow', ',', 'imagine', 'many', 'hospitalizations', 'deaths', 'be', 'traced', 'the', 'indoor', 'hate', 'rallies', ' ', 'held', 'l', '…']"
129,"despite government interventions, a bbc freedom of information request has revealed that over 300,000 redundancies… ","['despite', 'government', 'interventions', ',', 'a', 'bbc', 'freedom', 'of', 'information', 'request', 'has', 'revealed', 'that', 'over', '300,000', 'redundancies', '…']","['despite', 'government', 'interventions', ',', 'bbc', 'freedom', 'information', 'request', 'revealed', 'over', '300,000', 'redundancies', '…']"
130," in this opinion piece, prof anthony costello lists the issues which led to the failure of england’s test, track… ","[' ', 'in', 'this', 'opinion', 'piece', ',', 'prof', 'anthony', 'costello', 'lists', 'the', 'issues', 'which', 'led', 'to', 'the', 'failure', 'of', 'england', '’s', 'test', ',', 'track', '…']","[' ', 'this', 'opinion', 'piece', ',', 'prof', 'anthony', 'costello', 'lists', 'issues', 'led', 'the', 'failure', 'england', 'test', ',', 'track', '…']"
131,    you're just so far away from even scratching the surface.are you… ,"['    ', 'you', ""'re"", 'just', 'so', 'far', 'away', 'from', 'even', 'scratching', 'the', 'surface.are', 'you', '…']","['    ', ""'re"", 'so', 'far', 'away', 'even', 'scratching', 'surface.are', '…']"
132,damn jh made it on narcity ,"['damn', 'jh', 'made', 'it', 'on', 'narcity']","['damn', 'jh', 'it', 'narcity']"
133,"authorities report 312 new coronavirus infections, three deaths ","['authorities', 'report', '312', 'new', 'coronavirus', 'infections', ',', 'three', 'deaths']","['authorities', 'report', '312', 'new', 'coronavirus', 'infections', ',', 'deaths']"
134,"a court case challenging daniel andrews’ curfew laws needs to be heard as a matter of urgency, a supreme court judg… ","['a', 'court', 'case', 'challenging', 'daniel', 'andrews', '’', 'curfew', 'laws', 'needs', 'to', 'be', 'heard', 'as', 'a', 'matter', 'of', 'urgency', ',', 'a', 'supreme', 'court', 'judg', '…']","['court', 'case', 'challenging', 'daniel', 'andrews', '’', 'curfew', 'laws', 'needs', 'be', 'heard', 'matter', 'urgency', ',', 'a', 'supreme', 'court', 'judg', '…']"
135,"""i take no responsibility!""  ","['""', 'i', 'take', 'no', 'responsibility', '!', '""', ' ']","['""', 'take', 'responsibility', '!', '""', ' ']"
136,niedermeyer said he’s told older guys ”it’s about doing the right things” and that they’ve done a great job handling covid-19 protocols.,"['niedermeyer', 'said', 'he', '’s', 'told', 'older', 'guys', '”', 'it', '’s', 'about', 'doing', 'the', 'right', 'things', '”', 'and', 'that', 'they', '’ve', 'done', 'a', 'great', 'job', 'handling', 'covid-19', 'protocols', '.']","['niedermeyer', 'said', '’s', 'told', 'older', 'guys', '”', '’s', 'doing', 'right', 'things', '”', 'that', '’ve', 'a', 'great', 'job', 'handling', 'covid-19', 'protocols', '.']"
137, 3rd quarter 2021 ,"[' ', '3rd', 'quarter', '2021']","[' ', '3rd', 'quarter', '2021']"
138,this makes a lot of sense if you believe in science and proper vaccination testing protocols. so what's the over/un… ,"['this', 'makes', 'a', 'lot', 'of', 'sense', 'if', 'you', 'believe', 'in', 'science', 'and', 'proper', 'vaccination', 'testing', 'protocols', '.', 'so', 'what', ""'s"", 'the', 'over', '/', 'un', '…']","['makes', 'lot', 'sense', 'you', 'believe', 'science', 'proper', 'vaccination', 'testing', 'protocols', '.', 'what', 'the', '/', 'un', '…']"
139,    considering our prior success with developing coronavirus vaccines i am… ,"['    ', 'considering', 'our', 'prior', 'success', 'with', 'developing', 'coronavirus', 'vaccines', 'i', 'am', '…']","['    ', 'considering', 'prior', 'success', 'developing', 'coronavirus', 'vaccines', 'am', '…']"
140, is returning tomorrow! join us and others on the 17th september at 12:00 - 13:00 bst for 'the… ,"[' ', 'is', 'returning', 'tomorrow', '!', 'join', 'us', 'and', 'others', 'on', 'the', '17th', 'september', 'at', '12:00', '-', '13:00', 'bst', 'for', ""'"", 'the', '…']","[' ', 'returning', 'tomorrow', '!', 'join', 'and', 'on', '17th', 'september', '12:00', '-', '13:00', 'bst', ""'"", '…']"
141,"from hospital workers to video editors and everyone in between during a global pandemic, how are people feeling rig… ","['from', 'hospital', 'workers', 'to', 'video', 'editors', 'and', 'everyone', 'in', 'between', 'during', 'a', 'global', 'pandemic', ',', 'how', 'are', 'people', 'feeling', 'rig', '…']","['hospital', 'workers', 'video', 'editors', 'everyone', 'between', 'a', 'global', 'pandemic', ',', 'are', 'people', 'feeling', 'rig', '…']"
142,nyc restaurants will soon be allowed to add up to 10 percent surcharge to diners’ bills ,"['nyc', 'restaurants', 'will', 'soon', 'be', 'allowed', 'to', 'add', 'up', 'to', '10', 'percent', 'surcharge', 'to', 'diners', '’', 'bills']","['nyc', 'restaurants', 'soon', 'allowed', 'add', '10', 'percent', 'surcharge', 'to', 'diners', '’', 'bills']"
143,live: top health officials testify before senate committee on covid-19 response — 9/16/2020,"['live', ':', 'top', 'health', 'officials', 'testify', 'before', 'senate', 'committee', 'on', 'covid-19', 'response', '—', '9/16/2020']","['live', ':', 'health', 'officials', 'testify', 'senate', 'committee', 'covid-19', 'response', '—', '9/16/2020']"
144,u.s. outlines sweeping plan to provide free covid-19 vaccines ,"['u.s', '.', 'outlines', 'sweeping', 'plan', 'to', 'provide', 'free', 'covid-19', 'vaccines']","['u.s', '.', 'outlines', 'sweeping', 'plan', 'provide', 'free', 'covid-19', 'vaccines']"
145,5 million positive cumulative cases in india as of today. of these 1 million are active cases.   ,"['5', 'million', 'positive', 'cumulative', 'cases', 'in', 'india', 'as', 'of', 'today', '.', 'of', 'these', '1', 'million', 'are', 'active', 'cases', '.', '  ']","['5', 'million', 'positive', 'cumulative', 'cases', 'india', 'today', '.', 'of', 'these', '1', 'million', 'active', 'cases', '.', '  ']"
146,"migrant deaths government won’t see  - not fit to rule this country. they must be booted out, unceremoniously.","['migrant', 'deaths', 'government', 'wo', 'n’t', 'see', ' ', '-', 'not', 'fit', 'to', 'rule', 'this', 'country', '.', 'they', 'must', 'be', 'booted', 'out', ',', 'unceremoniously', '.']","['migrant', 'deaths', 'government', 'wo', 'see', ' ', '-', 'fit', 'rule', 'country', '.', 'must', 'booted', ',', 'unceremoniously', '.']"
147,india covid-19 tally crosses 50 lakh as virus spreads at record pace : india… ,"['india', 'covid-19', 'tally', 'crosses', '50', 'lakh', 'as', 'virus', 'spreads', 'at', 'record', 'pace', ':', 'india', '…']","['india', 'covid-19', 'tally', 'crosses', '50', 'lakh', 'virus', 'spreads', 'record', 'pace', ':', 'india', '…']"
148,keep an eye out for  own qi hub pinterest boards filled with resources &amp; information to help you start… ,"['keep', 'an', 'eye', 'out', 'for', ' ', 'own', 'qi', 'hub', 'pinterest', 'boards', 'filled', 'with', 'resources', '&', 'amp', ';', 'information', 'to', 'help', 'you', 'start', '…']","['an', 'eye', 'for', ' ', 'qi', 'hub', 'pinterest', 'boards', 'filled', 'resources', '&', 'amp', ';', 'information', 'help', 'start', '…']"
149,concordia is thrilled to announce  as a sponsor for the annual summit! mebo international is a biot… ,"['concordia', 'is', 'thrilled', 'to', 'announce', ' ', 'as', 'a', 'sponsor', 'for', 'the', 'annual', 'summit', '!', 'mebo', 'international', 'is', 'a', 'biot', '…']","['concordia', 'thrilled', 'announce', ' ', 'a', 'sponsor', 'the', 'annual', 'summit', '!', 'mebo', 'international', 'a', 'biot', '…']"
150," 200,000 killed by coronavirus, 6.7 million infected, 42 million unemployed-tells woodward he knows co… ","[' ', '200,000', 'killed', 'by', 'coronavirus', ',', '6.7', 'million', 'infected', ',', '42', 'million', 'unemployed', '-', 'tells', 'woodward', 'he', 'knows', 'co', '…']","[' ', '200,000', 'killed', 'coronavirus', ',', '6.7', 'million', 'infected', ',', '42', 'million', 'unemployed', '-', 'tells', 'woodward', 'knows', 'co', '…']"
151,"after his covid-19 briefing w/experts,  responded in depth about biological differences of ongoing vaccine… ","['after', 'his', 'covid-19', 'briefing', 'w', '/', 'experts', ',', ' ', 'responded', 'in', 'depth', 'about', 'biological', 'differences', 'of', 'ongoing', 'vaccine', '…']","['his', 'covid-19', 'briefing', 'w', '/', 'experts', ',', ' ', 'responded', 'depth', 'biological', 'differences', 'ongoing', 'vaccine', '…']"
152,"there are 650 seats, get rid of 325 of them,preferably 325 tory ones!they have handled coronavirus shockingly!te… ","['there', 'are', '650', 'seats', ',', 'get', 'rid', 'of', '325', 'of', 'them', ',', 'preferably', '325', 'tory', 'ones!they', 'have', 'handled', 'coronavirus', 'shockingly!te', '…']","['are', '650', 'seats', ',', 'rid', '325', 'them', ',', 'preferably', '325', 'tory', 'ones!they', 'handled', 'coronavirus', 'shockingly!te', '…']"
153, posted... ,"[' ', 'posted', '...']","[' ', 'posted', '...']"
154,"48 days until the election.  ""trump attacks biden on coronavirus mask mandates. but bi… ","['48', 'days', 'until', 'the', 'election', '.', ' ', '""', 'trump', 'attacks', 'biden', 'on', 'coronavirus', 'mask', 'mandates', '.', 'but', 'bi', '…']","['48', 'days', 'the', 'election', '.', ' ', '""', 'trump', 'attacks', 'biden', 'coronavirus', 'mask', 'mandates', '.', 'bi', '…']"
155,   has to do with whether it is a single or double strand virus.nooooo. … ,"['   ', 'has', 'to', 'do', 'with', 'whether', 'it', 'is', 'a', 'single', 'or', 'double', 'strand', 'virus.nooooo', '.', '…']","['   ', 'to', 'with', 'it', 'a', 'single', 'double', 'strand', 'virus.nooooo', '.', '…']"
156,this guy talking about public safety after his handling of covid19 &amp; brexit ,"['this', 'guy', 'talking', 'about', 'public', 'safety', 'after', 'his', 'handling', 'of', 'covid19', '&', 'amp', ';', 'brexit']","['guy', 'talking', 'public', 'safety', 'his', 'handling', 'covid19', '&', 'amp', ';', 'brexit']"
157,"""our record on saving lives has been solid,""   director  tells joint house-senate committ… ","['""', 'our', 'record', 'on', 'saving', 'lives', 'has', 'been', 'solid', ',', '""', '  ', 'director', ' ', 'tells', 'joint', 'house', '-', 'senate', 'committ', '…']","['""', 'record', 'saving', 'lives', 'been', 'solid', ',', '""', '  ', 'director', ' ', 'tells', 'joint', 'house', '-', 'senate', 'committ', '…']"
158," justin the covid-19 it's going to take a lot time to eliminate this disease, maybe years. what is th… ","[' ', 'justin', 'the', 'covid-19', 'it', ""'s"", 'going', 'to', 'take', 'a', 'lot', 'time', 'to', 'eliminate', 'this', 'disease', ',', 'maybe', 'years', '.', 'what', 'is', 'th', '…']","[' ', 'justin', 'covid-19', ""'s"", 'going', 'take', 'lot', 'time', 'eliminate', 'disease', ',', 'maybe', 'years', '.', 'is', 'th', '…']"
159,he is very good. ,"['he', 'is', 'very', 'good', '.']","['is', 'good', '.']"
160,me too. six months in last saturday. ,"['me', 'too', '.', 'six', 'months', 'in', 'last', 'saturday', '.']","['too', '.', 'months', 'last', 'saturday', '.']"
161,crutech project topics and materialsget complete project chapter 1-5 at  ,"['crutech', 'project', 'topics', 'and', 'materialsget', 'complete', 'project', 'chapter', '1', '-', '5', 'at', ' ']","['crutech', 'project', 'topics', 'materialsget', 'complete', 'project', 'chapter', '1', '-', '5', ' ']"
162,"pain suffering in the time of coronathe dea curtails rx opioid supplies, torturing untreated pain pts. it also im… ","['pain', 'suffering', 'in', 'the', 'time', 'of', 'coronathe', 'dea', 'curtails', 'rx', 'opioid', 'supplies', ',', 'torturing', 'untreated', 'pain', 'pts', '.', 'it', 'also', 'i', 'm', '…']","['pain', 'suffering', 'the', 'time', 'coronathe', 'dea', 'curtails', 'rx', 'opioid', 'supplies', ',', 'torturing', 'untreated', 'pain', 'pts', '.', 'also', 'm', '…']"
163, tonight is explaining how trump and the radiologist that stanford is disavowing who is now leading our… ,"[' ', 'tonight', 'is', 'explaining', 'how', 'trump', 'and', 'the', 'radiologist', 'that', 'stanford', 'is', 'disavowing', 'who', 'is', 'now', 'leading', 'our', '…']","[' ', 'tonight', 'explaining', 'trump', 'the', 'radiologist', 'stanford', 'disavowing', 'is', 'leading', '…']"
164,first china an now spouse doing pakistan .. agent ? ,"['first', 'china', 'an', 'now', 'spouse', 'doing', 'pakistan', '..', 'agent', '?']","['china', 'now', 'spouse', 'pakistan', '..', 'agent', '?']"
